year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
1986,group,1986-06-11,PAR,BEL,2,2,16000,Bogdan Dotchev,Bulgaria,"Estadio Toluca 70–86, Toluca",1986 FIFA World Cup Group B
1986,group,1986-06-11,POR,MAR,1,3,28000,Alan Snoddy,Northern Ireland,"Estadio Tres de Marzo, Zapopan",1986 FIFA World Cup Group F
1986,group,1986-06-12,ALG,ESP,0,3,23980,Shizuo Takada,Japan,"Estadio Tecnológico, Monterrey",1986 FIFA World Cup Group D
1986,group,1986-06-12,NIR,BRA,0,3,51000,Siegfried Kirschen,East Germany,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup Group D
1986,group,1986-06-13,DEN,FRG,2,0,36000,Alexis Ponnet,Belgium,"Estadio La Corregidora, Querétaro",1986 FIFA World Cup Group E
1986,group,1986-06-13,SCO,URU,0,0,20000,Joël Quiniou,France,"Estadio Neza 86, Nezahualcóyotl",1986 FIFA World Cup Group E
1986,round-of-16,1986-06-15,MEX,BUL,2,0,114580,Romualdo Arppi Filho,Brazil,"Estadio Azteca, Mexico City",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-15,URS,BEL,3,4,32277,Erik Fredriksson,Sweden,"Estadio Nou Camp, León",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-16,ARG,URU,1,0,26000,Luigi Agnolin,Italy,"Estadio Cuauhtémoc, Puebla",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-16,BRA,POL,4,0,45000,Volker Roth,West Germany,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-17,ITA,FRA,0,2,70000,Carlos Espósito,Argentina,"Estadio Olímpico Universitario, Mexico City",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-17,MAR,FRG,0,1,19800,Zoran Petrović,Yugoslavia,"Estadio Universitario, San Nicolás de los Garza",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-18,DEN,ESP,1,5,38500,Jan Keizer,Netherlands,"Estadio La Corregidora, Querétaro",1986 FIFA World Cup knockout stage
1986,round-of-16,1986-06-18,ENG,PAR,3,0,98728,Jamal Al Sharif,Syria,"Estadio Azteca, Mexico City",1986 FIFA World Cup knockout stage
1986,quarter-final,1986-06-21,BRA,FRA,1,1,65000,Ioan Igna,Romania,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup knockout stage
1986,quarter-final,1986-06-21,FRG,MEX,0,0,41700,Jesús Díaz,Colombia,"Estadio Universitario, San Nicolás de los Garza",1986 FIFA World Cup knockout stage
1986,quarter-final,1986-06-22,ARG,ENG,2,1,114580,Ali Bin Nasser,Tunisia,"Estadio Azteca, Mexico City",Argentina v England (1986 FIFA World Cup)
1986,quarter-final,1986-06-22,ESP,BEL,1,1,45000,Siegfried Kirschen,East Germany,"Estadio Cuauhtémoc, Puebla",1986 FIFA World Cup knockout stage
1986,semi-final,1986-06-25,ARG,BEL,2,0,114500,Antonio Márquez Ramírez,Mexico,"Estadio Azteca, Mexico City",1986 FIFA World Cup knockout stage
1986,semi-final,1986-06-25,FRA,FRG,0,2,45000,Luigi Agnolin,Italy,"Estadio Jalisco, Guadalajara",1986 FIFA World Cup knockout stage
1986,third-place,1986-06-28,BEL,FRA,2,4,21000,George Courtney,England,"Estadio Cuauhtémoc, Puebla",1986 FIFA World Cup knockout stage
1986,final,1986-06-29,ARG,FRG,3,2,114600,Romualdo Arppi Filho,Brazil,"Estadio Azteca, Mexico City",1986 FIFA World Cup final
1990,group,1990-06-08,ARG,CMR,0,1,73780,Michel Vautrot,France,"San Siro, Milan",1990 FIFA World Cup Group B
1990,group,1990-06-09,ITA,AUT,1,0,73303,José Roberto Wright,Brazil,"Stadio Olimpico, Rome",1990 FIFA World Cup Group A
1990,group,1990-06-09,UAE,COL,0,2,30791,George Courtney,England,"Stadio Renato Dall'Ara, Bologna",1990 FIFA World Cup Group D
1990,group,1990-06-09,URS,ROU,0,2,42907,Juan Daniel Cardellino,Uruguay,"Stadio San Nicola, Bari",1990 FIFA World Cup Group B
1990,group,1990-06-10,BRA,SWE,2,1,62628,Tullio Lanese,Italy,"Stadio Delle Alpi, Turin",1990 FIFA World Cup Group C
1990,group,1990-06-10,FRG,YUG,4,1,74765,Peter Mikkelsen,Denmark,"San Siro, Milan",1990 FIFA World Cup Group D
1990,group,1990-06-10,USA,CSK,1,5,33266,Kurt Röthlisberger,Switzerland,"Stadio Comunale, Florence",1990 FIFA World Cup Group A
1990,group,1990-06-11,CRC,SCO,1,0,30867,Juan Carlos Loustau,Argentina,"Stadio Luigi Ferraris, Genoa",1990 FIFA World Cup Group C
1990,group,1990-06-11,ENG,IRL,1,1,35238,Aron Schmidhuber,West Germany,"Stadio Sant'Elia, Cagliari",1990 FIFA World Cup Group F
1990,group,1990-06-12,BEL,KOR,2,0,32790,Vincent Mauro,United States,"Stadio Marc'Antonio Bentegodi, Verona",1990 FIFA World Cup Group E
1990,group,1990-06-12,NED,EGY,1,1,33288,Emilio Soriano Aladrén,Spain,"Stadio La Favorita, Palermo",1990 FIFA World Cup Group F
1990,group,1990-06-13,ARG,URS,2,0,55759,Erik Fredriksson,Sweden,"Stadio San Paolo, Naples",1990 FIFA World Cup Group B
1990,group,1990-06-13,URU,ESP,0,0,35713,Helmut Kohl,Austria,"Stadio Friuli, Udine",1990 FIFA World Cup Group E
1990,group,1990-06-14,CMR,ROU,2,1,38687,Hernán Silva,Chile,"Stadio San Nicola, Bari",1990 FIFA World Cup Group B
1990,group,1990-06-14,ITA,USA,1,0,73423,Edgardo Codesal,Mexico,"Stadio Olimpico, Rome",1990 FIFA World Cup Group A
1990,group,1990-06-14,YUG,COL,1,0,32257,Luigi Agnolin,Italy,"Stadio Renato Dall'Ara, Bologna",1990 FIFA World Cup Group D
1990,group,1990-06-15,AUT,CSK,0,1,38962,George Smith,Scotland,"Stadio Comunale, Florence",1990 FIFA World Cup Group A
1990,group,1990-06-15,FRG,UAE,5,1,71169,Alexey Spirin,Soviet Union,"San Siro, Milan",1990 FIFA World Cup Group D
1990,group,1990-06-16,BRA,CRC,1,0,58007,Neji Jouini,Tunisia,"Stadio Delle Alpi, Turin",1990 FIFA World Cup Group C
1990,group,1990-06-16,ENG,NED,0,0,35267,Zoran Petrović,Yugoslavia,"Stadio Sant'Elia, Cagliari",1990 FIFA World Cup Group F
1990,group,1990-06-16,SWE,SCO,1,2,31823,Carlos Maciel,Paraguay,"Stadio Luigi Ferraris, Genoa",1990 FIFA World Cup Group C
1990,group,1990-06-17,BEL,URU,3,1,33759,Siegfried Kirschen,East Germany,"Stadio Marc'Antonio Bentegodi, Verona",1990 FIFA World Cup Group E
1990,group,1990-06-17,IRL,EGY,0,0,33288,Marcel van Langenhove,Belgium,"Stadio La Favorita, Palermo",1990 FIFA World Cup Group F
1990,group,1990-06-17,KOR,ESP,1,3,32733,Elías Jácome,Ecuador,"Stadio Friuli, Udine",1990 FIFA World Cup Group E
1990,group,1990-06-18,ARG,ROU,1,1,52733,Carlos Silva Valente,Portugal,"Stadio San Paolo, Naples",1990 FIFA World Cup Group B
1990,group,1990-06-18,CMR,URS,0,4,37307,José Roberto Wright,Brazil,"Stadio San Nicola, Bari",1990 FIFA World Cup Group B
1990,group,1990-06-19,AUT,USA,2,1,34857,Jamal Al Sharif,Syria,"Stadio Comunale, Florence",1990 FIFA World Cup Group A
1990,group,1990-06-19,FRG,COL,1,1,72510,Alan Snoddy,Northern Ireland,"San Siro, Milan",1990 FIFA World Cup Group D
1990,group,1990-06-19,ITA,CSK,2,0,73303,Joël Quiniou,France,"Stadio Olimpico, Rome",1990 FIFA World Cup Group A
1990,group,1990-06-19,YUG,UAE,4,1,27833,Shizuo Takada,Japan,"Stadio Renato Dall'Ara, Bologna",1990 FIFA World Cup Group D
1990,group,1990-06-20,BRA,SCO,1,0,62502,Helmut Kohl,Austria,"Stadio Delle Alpi, Turin",1990 FIFA World Cup Group C
1990,group,1990-06-20,SWE,CRC,1,2,30223,Zoran Petrović,Yugoslavia,"Stadio Luigi Ferraris, Genoa",1990 FIFA World Cup Group C
1990,group,1990-06-21,BEL,ESP,1,2,35950,Juan Carlos Loustau,Argentina,"Stadio Marc'Antonio Bentegodi, Verona",1990 FIFA World Cup Group E
1990,group,1990-06-21,ENG,EGY,1,0,34959,Kurt Röthlisberger,Switzerland,"Stadio Sant'Elia, Cagliari",1990 FIFA World Cup Group F
1990,group,1990-06-21,IRL,NED,1,1,33288,Michel Vautrot,France,"Stadio La Favorita, Palermo",1990 FIFA World Cup Group F
1990,group,1990-06-21,KOR,URU,0,1,29039,Tullio Lanese,Italy,"Stadio Friuli, Udine",1990 FIFA World Cup Group E
1990,round-of-16,1990-06-23,CMR,COL,2,1,50026,Tullio Lanese,Italy,"Stadio San Paolo, Naples",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-23,CSK,CRC,4,1,47673,Siegfried Kirschen,East Germany,"Stadio San Nicola, Bari",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-24,BRA,ARG,0,1,61381,Joël Quiniou,France,"Stadio Delle Alpi, Turin",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-24,FRG,NED,2,1,74559,Juan Carlos Loustau,Argentina,"San Siro, Milan",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-25,IRL,ROM,0,0,31818,José Roberto Wright,Brazil,"Stadio Luigi Ferraris, Genoa",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-25,ITA,URU,2,0,73303,George Courtney,England,"Stadio Olimpico, Rome",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-26,ENG,BEL,1,0,34520,Peter Mikkelsen,Denmark,"Stadio Renato Dall'Ara, Bologna",1990 FIFA World Cup knockout stage
1990,round-of-16,1990-06-26,ESP,YUG,1,2,35500,Aron Schmidhuber,West Germany,"Stadio Marc'Antonio Bentegodi, Verona",1990 FIFA World Cup knockout stage
1990,quarter-final,1990-06-30,ARG,YUG,0,0,38971,Kurt Röthlisberger,Switzerland,"Stadio Comunale, Florence",1990 FIFA World Cup knockout stage
1990,quarter-final,1990-06-30,IRL,ITA,0,1,73303,Carlos Silva Valente,Portugal,"Stadio Olimpico, Rome",1990 FIFA World Cup knockout stage
1990,quarter-final,1990-07-01,CMR,ENG,2,3,55205,Edgardo Codesal,Mexico,"Stadio San Paolo, Naples",1990 FIFA World Cup knockout stage
1990,quarter-final,1990-07-01,TCH,FRG,0,1,73347,Helmut Kohl,Austria,"San Siro, Milan",1990 FIFA World Cup knockout stage
1990,semi-final,1990-07-03,ARG,ITA,1,1,59978,Michel Vautrot,France,"Stadio San Paolo, Naples",1990 FIFA World Cup knockout stage
1990,semi-final,1990-07-07,FRG,ENG,1,3,62628,José Roberto Wright,Brazil,"Stadio delle Alpi, Turin",1990 FIFA World Cup knockout stage
1990,third-place,1990-07-07,ITA,ENG,2,1,51426,Joël Quiniou,France,"Stadio San Nicola, Bari",1990 FIFA World Cup knockout stage
1990,final,1990-07-08,FRG,ARG,1,0,73603,Edgardo Codesal,Mexico,"Stadio Olimpico, Rome",1990 FIFA World Cup final
1994,group,1994-06-17,ESP,KOR,2,2,56247,Peter Mikkelsen,Denmark,"Cotton Bowl, Dallas",1994 FIFA World Cup Group C
1994,group,1994-06-17,GER,BOL,1,0,63117,Arturo Brizio Carter,Mexico,"Soldier Field, Chicago",1994 FIFA World Cup Group C
1994,group,1994-06-18,COL,ROU,1,3,91856,Jamal Al Sharif,Syria,"Rose Bowl, Pasadena",1994 FIFA World Cup Group A
1994,group,1994-06-18,ITA,IRL,0,1,75338,Mario van der Ende,Netherlands,"Giants Stadium, East Rutherford",1994 FIFA World Cup Group E
1994,group,1994-06-18,USA,SUI,1,1,73425,Francisco Oscar Lamolina,Argentina,"Pontiac Silverdome, Pontiac",1994 FIFA World Cup Group A
1994,group,1994-06-19,BEL,MAR,1,0,61219,José Torres Cadena,Colombia,"Citrus Bowl, Orlando",1994 FIFA World Cup Group F
1994,group,1994-06-19,CMR,SWE,2,2,93194,Alberto Tejada Noriega,Peru,"Rose Bowl, Pasadena",1994 FIFA World Cup Group B
1994,group,1994-06-19,NOR,MEX,1,0,52395,Sándor Puhl,Hungary,"RFK Stadium, Washington, D.C.",1994 FIFA World Cup Group E
1994,group,1994-06-20,BRA,RUS,2,0,81061,Lim Kee Chong,Mauritius,"Stanford Stadium, Stanford",1994 FIFA World Cup Group B
1994,group,1994-06-20,NED,KSA,2,1,50535,Manuel Díaz Vega,Spain,"RFK Stadium, Washington, D.C.",1994 FIFA World Cup Group F
1994,group,1994-06-21,ARG,GRE,4,0,54456,Arturo Angeles,United States,"Foxboro Stadium, Foxborough",1994 FIFA World Cup Group D
1994,group,1994-06-21,GER,ESP,1,1,63113,Filippi Cavani,Uruguay,"Soldier Field, Chicago",1994 FIFA World Cup Group C
1994,group,1994-06-21,NGA,BUL,3,0,44132,Rodrigo Badilla,Costa Rica,"Cotton Bowl, Dallas",1994 FIFA World Cup Group D
1994,group,1994-06-22,ROU,SUI,1,4,61428,Neji Jouini,Tunisia,"Pontiac Silverdome, Pontiac",1994 FIFA World Cup Group A
1994,group,1994-06-22,USA,COL,2,1,93869,Fabio Baldas,Italy,"Rose Bowl, Pasadena",1994 FIFA World Cup Group A
1994,group,1994-06-23,ITA,NOR,1,0,74624,Hellmut Krug,Germany,"Giants Stadium, East Rutherford",1994 FIFA World Cup Group E
1994,group,1994-06-23,KOR,BOL,0,0,54453,Leslie Mottram,Scotland,"Foxboro Stadium, Foxborough",1994 FIFA World Cup Group C
1994,group,1994-06-24,BRA,CMR,3,0,83401,Arturo Brizio Carter,Mexico,"Stanford Stadium, Stanford",1994 FIFA World Cup Group B
1994,group,1994-06-24,MEX,IRL,2,1,60790,Kurt Röthlisberger,Switzerland,"Citrus Bowl, Orlando",1994 FIFA World Cup Group E
1994,group,1994-06-24,SWE,RUS,3,1,71528,Joël Quiniou,France,"Pontiac Silverdome, Pontiac",1994 FIFA World Cup Group B
1994,group,1994-06-25,ARG,NGA,2,1,54453,Bo Karlsson,Sweden,"Foxboro Stadium, Foxborough",1994 FIFA World Cup Group D
1994,group,1994-06-25,BEL,NED,1,0,62387,Renato Marsiglia,Brazil,"Citrus Bowl, Orlando",1994 FIFA World Cup Group F
1994,group,1994-06-25,KSA,MAR,2,1,76322,Philip Don,England,"Giants Stadium, East Rutherford",1994 FIFA World Cup Group F
1994,group,1994-06-26,BUL,GRE,4,0,63160,Ali Bujsaim,United Arab Emirates,"Soldier Field, Chicago",1994 FIFA World Cup Group D
1994,group,1994-06-26,SUI,COL,0,2,83401,Peter Mikkelsen,Denmark,"Stanford Stadium, Stanford",1994 FIFA World Cup Group A
1994,group,1994-06-26,USA,ROU,0,1,93869,Mario van der Ende,Netherlands,"Rose Bowl, Pasadena",1994 FIFA World Cup Group A
1994,group,1994-06-27,BOL,ESP,1,3,63089,Rodrigo Badilla,Costa Rica,"Soldier Field, Chicago",1994 FIFA World Cup Group C
1994,group,1994-06-27,GER,KOR,3,2,63998,Joël Quiniou,France,"Cotton Bowl, Dallas",1994 FIFA World Cup Group C
1994,group,1994-06-28,BRA,SWE,1,1,77217,Sándor Puhl,Hungary,"Pontiac Silverdome, Pontiac",1994 FIFA World Cup Group B
1994,group,1994-06-28,IRL,NOR,0,0,72404,José Torres Cadena,Colombia,"Giants Stadium, East Rutherford",1994 FIFA World Cup Group E
1994,group,1994-06-28,ITA,MEX,1,1,52535,Francisco Oscar Lamolina,Argentina,"RFK Stadium, Washington, D.C.",1994 FIFA World Cup Group E
1994,group,1994-06-28,RUS,CMR,6,1,74914,Jamal Al Sharif,Syria,"Stanford Stadium, Stanford",1994 FIFA World Cup Group B
1994,group,1994-06-29,BEL,KSA,0,1,52959,Hellmut Krug,Germany,"RFK Stadium, Washington, D.C.",1994 FIFA World Cup Group F
1994,group,1994-06-29,MAR,NED,1,2,60578,Alberto Tejada Noriega,Peru,"Citrus Bowl, Orlando",1994 FIFA World Cup Group F
1994,group,1994-06-30,ARG,BUL,0,2,63998,Neji Jouini,Tunisia,"Cotton Bowl, Dallas",1994 FIFA World Cup Group D
1994,group,1994-06-30,GRE,NGA,0,2,53001,Leslie Mottram,Scotland,"Foxboro Stadium, Foxborough",1994 FIFA World Cup Group D
1994,round-of-16,1994-07-02,ESP,SUI,3,0,53121,Mario van der Ende,Netherlands,"RFK Stadium, Washington, D.C.",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-02,GER,BEL,3,2,60246,Kurt Röthlisberger,Switzerland,"Soldier Field, Chicago",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-03,KSA,SWE,1,3,60277,Renato Marsiglia,Brazil,"Cotton Bowl, Dallas",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-03,ROU,ARG,3,2,90469,Pierluigi Pairetto,Italy,"Rose Bowl, Pasadena",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-04,BRA,USA,1,0,84147,Joël Quiniou,France,"Stanford Stadium, Stanford",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-04,NED,IRL,2,0,61355,Peter Mikkelsen,Denmark,"Citrus Bowl, Orlando",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-05,MEX,BUL,1,1,71030,Jamal Al Sharif,Syria,"Giants Stadium, East Rutherford",1994 FIFA World Cup knockout stage
1994,round-of-16,1994-07-05,NGA,ITA,1,2,54367,Arturo Brizio Carter,Mexico,"Foxboro Stadium, Foxborough",1994 FIFA World Cup knockout stage
1994,quarter-final,1994-07-09,ITA,ESP,2,1,53400,Sándor Puhl,Hungary,"Foxboro Stadium, Foxborough",1994 FIFA World Cup knockout stage
1994,quarter-final,1994-07-09,NED,BRA,2,3,63500,Rodrigo Badilla,Costa Rica,"Cotton Bowl, Dallas",1994 FIFA World Cup knockout stage
1994,quarter-final,1994-07-10,BUL,GER,2,1,72000,José Torres Cadena,Colombia,"Giants Stadium, East Rutherford",1994 FIFA World Cup knockout stage
1994,quarter-final,1994-07-10,ROU,SWE,2,2,83500,Philip Don,England,"Stanford Stadium, Stanford",1994 FIFA World Cup knockout stage
1994,semi-final,1994-07-13,BUL,ITA,1,2,74110,Joël Quiniou,France,"Giants Stadium, East Rutherford",1994 FIFA World Cup knockout stage
1994,semi-final,1994-07-13,SWE,BRA,0,1,91856,José Torres Cadena,Colombia,"Rose Bowl, Pasadena",1994 FIFA World Cup knockout stage
1994,third-place,1994-07-16,SWE,BUL,4,0,91500,Ali Bujsaim,United Arab Emirates,"Rose Bowl, Pasadena",1994 FIFA World Cup knockout stage
1994,final,1994-07-17,BRA,ITA,0,0,94194,Sándor Puhl,Hungary,"Rose Bowl, Pasadena",1994 FIFA World Cup final
1998,group,1998-06-10,BRA,SCO,2,1,80000,José María García-Aranda,Spain,"Stade de France, Saint-Denis",1998 FIFA World Cup Group A
1998,group,1998-06-10,MAR,NOR,2,2,29800,Pirom Un-Prasert,Thailand,"Stade de la Mosson, Montpellier",1998 FIFA World Cup Group A
1998,group,1998-06-11,CMR,AUT,1,1,33500,Epifanio González,Paraguay,"Stade de Toulouse, Toulouse",1998 FIFA World Cup Group B
1998,group,1998-06-11,ITA,CHI,2,2,31800,Lucien Bouchardeau,Niger,"Parc Lescure, Bordeaux",1998 FIFA World Cup Group B
1998,group,1998-06-12,FRA,RSA,3,0,55000,Márcio Rezende de Freitas,Brazil,"Stade Vélodrome, Marseille",1998 FIFA World Cup Group C
1998,group,1998-06-12,KSA,DEN,0,1,38100,Javier Castrilli,Argentina,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup Group C
1998,group,1998-06-12,PAR,BUL,0,0,29800,Abdul Rahman Al-Zeid,Saudi Arabia,"Stade de la Mosson, Montpellier",1998 FIFA World Cup Group D
1998,group,1998-06-13,ESP,NGA,2,3,35500,Esfandiar Baharmast,United States,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup Group D
1998,group,1998-06-13,KOR,MEX,1,3,39100,Günter Benkö,Austria,"Stade de Gerland, Lyon",1998 FIFA World Cup Group E
1998,group,1998-06-13,NED,BEL,0,0,77000,Pierluigi Collina,Italy,"Stade de France, Saint-Denis",1998 FIFA World Cup Group E
1998,group,1998-06-14,ARG,JPN,1,0,33500,Mario van der Ende,Netherlands,"Stade de Toulouse, Toulouse",1998 FIFA World Cup Group H
1998,group,1998-06-14,JAM,CRO,1,3,38100,Vítor Melo Pereira,Portugal,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup Group H
1998,group,1998-06-14,YUG,IRN,1,0,30600,Alberto Tejada,Peru,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup Group F
1998,group,1998-06-15,ENG,TUN,2,0,55000,Masayoshi Okada,Japan,"Stade Vélodrome, Marseille",1998 FIFA World Cup Group G
1998,group,1998-06-15,GER,USA,2,0,45500,Said Belqola,Morocco,"Parc des Princes, Paris",1998 FIFA World Cup Group F
1998,group,1998-06-15,ROU,COL,1,0,39100,Lim Kee Chong,Mauritius,"Stade de Gerland, Lyon",1998 FIFA World Cup Group G
1998,group,1998-06-16,BRA,MAR,3,0,35500,Nikolai Levnikov,Russia,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup Group A
1998,group,1998-06-16,SCO,NOR,1,1,31800,László Vágner,Hungary,"Parc Lescure, Bordeaux",1998 FIFA World Cup Group A
1998,group,1998-06-17,CHI,AUT,1,1,30600,Gamal Al-Ghandour,Egypt,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup Group B
1998,group,1998-06-17,ITA,CMR,3,0,29800,Eddie Lennie,Australia,"Stade de la Mosson, Montpellier",1998 FIFA World Cup Group B
1998,group,1998-06-18,FRA,KSA,4,0,80000,Arturo Brizio Carter,Mexico,"Stade de France, Saint-Denis",1998 FIFA World Cup Group C
1998,group,1998-06-18,RSA,DEN,1,1,33500,John Toro Rendón,Colombia,"Stade de Toulouse, Toulouse",1998 FIFA World Cup Group C
1998,group,1998-06-19,ESP,PAR,0,0,30600,Ian McLeod,South Africa,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup Group D
1998,group,1998-06-19,NGA,BUL,1,0,45500,Mario Sánchez Yantén,Chile,"Parc des Princes, Paris",1998 FIFA World Cup Group D
1998,group,1998-06-20,BEL,MEX,2,2,31800,Hugh Dallas,Scotland,"Parc Lescure, Bordeaux",1998 FIFA World Cup Group E
1998,group,1998-06-20,JPN,CRO,0,1,35500,Ramesh Ramdhan,Trinidad and Tobago,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup Group H
1998,group,1998-06-20,NED,KOR,5,0,55000,Ryszard Wójcik,Poland,"Stade Vélodrome, Marseille",1998 FIFA World Cup Group E
1998,group,1998-06-21,ARG,JAM,5,0,45500,Rune Pedersen,Norway,"Parc des Princes, Paris",1998 FIFA World Cup Group H
1998,group,1998-06-21,GER,YUG,2,2,38100,Kim Milton Nielsen,Denmark,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup Group F
1998,group,1998-06-21,USA,IRN,1,2,39100,Urs Meier,Switzerland,"Stade de Gerland, Lyon",United States v Iran (1998 FIFA World Cup)
1998,group,1998-06-22,COL,TUN,1,0,29800,Bernd Heynemann,Germany,"Stade de la Mosson, Montpellier",1998 FIFA World Cup Group G
1998,group,1998-06-22,ROU,ENG,2,1,33500,Marc Batta,France,"Stade de Toulouse, Toulouse",1998 FIFA World Cup Group G
1998,group,1998-06-23,BRA,NOR,1,2,55000,Esfandiar Baharmast,United States,"Stade Vélodrome, Marseille",1998 FIFA World Cup Group A
1998,group,1998-06-23,CHI,CMR,1,1,35500,László Vágner,Hungary,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup Group B
1998,group,1998-06-23,ITA,AUT,2,1,80000,Paul Durkin,England,"Stade de France, Saint-Denis",1998 FIFA World Cup Group B
1998,group,1998-06-23,SCO,MAR,0,3,30600,Ali Bujsaim,United Arab Emirates,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup Group A
1998,group,1998-06-24,ESP,BUL,6,1,38100,Mario van der Ende,Netherlands,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup Group D
1998,group,1998-06-24,FRA,DEN,2,1,39100,Pierluigi Collina,Italy,"Stade de Gerland, Lyon",1998 FIFA World Cup Group C
1998,group,1998-06-24,NGA,PAR,1,3,33500,Pirom Un-prasert,Thailand,"Stade de Toulouse, Toulouse",1998 FIFA World Cup Group D
1998,group,1998-06-24,RSA,KSA,2,2,31800,Mario Sánchez,Chile,"Parc Lescure, Bordeaux",1998 FIFA World Cup Group C
1998,group,1998-06-25,BEL,KOR,1,1,45500,Márcio Rezende de Freitas,Brazil,"Parc des Princes, Paris",1998 FIFA World Cup Group E
1998,group,1998-06-25,GER,IRN,2,0,29800,Epifanio González,Paraguay,"Stade de la Mosson, Montpellier",1998 FIFA World Cup Group F
1998,group,1998-06-25,NED,MEX,2,2,30600,Abdul Rahman Al-Zeid,Saudi Arabia,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup Group E
1998,group,1998-06-25,USA,YUG,0,1,35500,Gamal Al-Ghandour,Egypt,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup Group F
1998,group,1998-06-26,ARG,CRO,1,0,31800,Said Belqola,Morocco,"Parc Lescure, Bordeaux",1998 FIFA World Cup Group H
1998,group,1998-06-26,COL,ENG,0,2,38100,Arturo Brizio Carter,Mexico,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup Group G
1998,group,1998-06-26,JPN,JAM,1,2,39100,Günter Benkö,Austria,"Stade de Gerland, Lyon",1998 FIFA World Cup Group H
1998,group,1998-06-26,ROU,TUN,1,1,77000,Eddie Lennie,Australia,"Stade de France, Saint-Denis",1998 FIFA World Cup Group G
1998,round-of-16,1998-06-27,BRA,CHI,4,1,45500,Marc Batta,France,"Parc des Princes, Paris",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-27,ITA,NOR,1,0,55000,Bernd Heynemann,Germany,"Stade Vélodrome, Marseille",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-28,FRA,PAR,1,0,31800,Ali Bujsaim,United Arab Emirates,"Stade Félix-Bollaert, Lens",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-28,NGA,DEN,1,4,77000,Urs Meier,Switzerland,"Stade de France, Saint-Denis",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-29,GER,MEX,2,1,29800,Vítor Melo Pereira,Portugal,"Stade de la Mosson, Montpellier",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-29,NED,YUG,2,1,33500,José María García-Aranda,Spain,"Stade de Toulouse, Toulouse",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-30,ARG,ENG,2,2,30600,Kim Milton Nielsen,Denmark,"Stade Geoffroy-Guichard, Saint-Étienne",1998 FIFA World Cup knockout stage
1998,round-of-16,1998-06-30,ROU,CRO,0,1,31800,Javier Castrilli,Argentina,"Parc Lescure, Bordeaux",1998 FIFA World Cup knockout stage
1998,quarter-final,1998-07-03,BRA,DEN,3,2,35500,Gamal Al-Ghandour,Egypt,"Stade de la Beaujoire, Nantes",1998 FIFA World Cup knockout stage
1998,quarter-final,1998-07-03,ITA,FRA,0,0,77000,Hugh Dallas,Scotland,"Stade de France, Saint-Denis",1998 FIFA World Cup knockout stage
1998,quarter-final,1998-07-04,GER,CRO,0,3,39100,Rune Pedersen,Norway,"Stade de Gerland, Lyon",1998 FIFA World Cup knockout stage
1998,quarter-final,1998-07-04,NED,ARG,2,1,55000,Arturo Brizio Carter,Mexico,"Stade Vélodrome, Marseille",1998 FIFA World Cup knockout stage
